"";"PROLIFIC_PID";"country.y";"classes_conspiracy";"politicalParty";"socio_sex";"mean_affImg";"mean_valence_macro";"num_nodes_macro";"R1";"R2";"R3";"R4";"R5";"affImgAffect-R1";"affImgAffect-R2";"affImgAffect-R3";"affImgAffect-R4";"affImgAffect-R5";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8"
"466";"6554d26c5dae0f7aa6a24b19";"Germany";3;NA;"Male";2;-0,230769230769231;13;"Feuer";"Trockenheit";"Armut";NA;NA;2;2;2;NA;NA;"life";"rising temperature";"extreme weather";"inequality";"hunger";"renewable energy ";"air pollution";"higher sea level"
"469";"6517283ed2294dbc8561979d";"Germany";3;NA;"Male";1;-2,38461538461538;13;"gefährlich";"abzusehen";"unabwendbar";"besorgniserregend";"menschengemacht";1;1;1;1;1;"global warming";"extreme weather events";"famine";"rising sea levels";"thawing glaciers";"man-made";"crop failures";"forest fire"
"480";"6516d321ac5a66a7aef87507";"Germany";3;NA;"Male";1,8;-0,0952380952380952;21;"schlimm";"tod";"flammen";"dunkelheit";"co2";2;1;2;2;2;"the weather";"renewable energy ";"greenhouse gas";"global warming";"climate policy";"climate justice";"awareness";"education"
"481";"653128a510c3e3686565e042";"Germany";3;NA;"Female";2;-2,28571428571429;14;"gefaket von der Politik";"genutzt um politische Interessen durchzusetzen";"Missbraucht um Elektroautos loszuwerden statt bessere Erfindungen zu fördern";"Arme Eisbären, wenn es stimmt";"Angeblich menschengemacht";3;2;1;1;3;"climate gluer";"longer car rides";"exploited by politics";"everything is expensive";"less money";"delay to work";"more frequent visits to the swimming pool";"heat"
"483";"6384d76e3da4c98dc29e390b";"Germany";1;NA;"Female";1,4;-2,23076923076923;13;"Abgase";"Produktion von Güter";"Autos";"Geld";"Zukunft";1;2;1;2;1;"human";"fast fashion";"food waste";"loss of biodiversity ";"flooding";"global warming";"water pollution";"microplastics"
"485";"611599c2d68c11e25569d969";"Germany";1;NA;"Female";4;0,5;14;"Erderwärmung";"Klimaschutz";"Letzte Generation";"Fridays for future";"Fleischkonsum";1;7;3;7;2;"climate gluer, last generation";"fridays for future";"vegan alternatives";"renewable energy ";"wealthy people";"governments";"young generation";"species-appropriate animal husbandry"
"491";"5b0a869f1e55760001b93fa3";"Germany";3;NA;"Male";2;0,583333333333333;12;"ernst";"dringend";"gefährlich";NA;NA;2;2;2;NA;NA;"self";"fellow human beings";"companies";"politics";"capitalism";"press";"science";"consumption"
"498";"6536973604f263f3c70495bf";"Germany";1;NA;"Male";2,2;-1;15;"Katastrophe";"Artensterben";"Treibhausgase";"Krieg";"Transformation";1;1;2;1;6;"environmental disasters";"global warming";"melting glaciers";"rising sea levels";"water";"soil salinization";"deserts";"biodiversity"
"502";"6516d4559fa6dba6b35395ac";"Germany";3;NA;"Female";2;0,692307692307692;13;"Temperatur";NA;NA;NA;NA;2;NA;NA;NA;NA;"temperature";"fossil fuel";"regional product";"reusable bag";"less meat";"co2";"green energy";"biking instead of driving"
"503";"5d6fda2bde432b0019b19ba7";"Germany";1;NA;"Male";1,4;-0,846153846153846;13;"Globale Erwärmung";"CO2-Ausstoß";"Extreme Wetterereignisse";"Naturkatastrophe";"Klimaflüchtlinge";1;2;1;1;2;"extreme weather events";"destruction of the environment";"environmentally friendly behavior";"famine";"increased species extinction";"renewable energy ";"destruction of human habitat";"sustainable behavior"
"504";"6522b07cf3d1949895af05f3";"Germany";3;NA;"Male";1;-1,33333333333333;12;"Schlecht";"Gefahr";"Überflutungen";"Massenmigration";"China";1;1;1;1;1;"natural disaster";"global warming";"mass migration";"expensive";"co2";"globalization";"sustainability";"food crisis"
"506";"6467da9866656b457f1f35ae";"Germany";1;NA;"Male";1,2;-1,07692307692308;13;"tot";"menschengemacht";"irgendwann nicht mehr veränderbar";"Angst";"Veränderung";1;1;1;1;2;"fear";"future generations";"species extinction";"sustainable energy";"ignorance of the people";"technological progress";"greed";"democracy"
"507";"63c011a88d2fc0b0b50b51fb";"Germany";1;NA;"Female";1,4;-1;14;"Krise";"Sorge";"Gesellschaft";"Kosten";"Politik";1;1;2;1;2;"threat";"environmental disasters";"poverty";"war";"species extinction";"conspiracy theories";"social prosperity";"climate protection"
"510";"6558c850ec1a05d63f1d04c6";"Germany";3;NA;"Male";2,33333333333333;-1,28571428571429;14;"Groß";"Medien";"Undurchsichtig";NA;NA;2;3;2;NA;NA;"sustainability";"co2 emissions";"natural disaster";"rise in temperature";"drought";"crop failures";"hunger";"recycling"
"513";"6463402e2e37bb8a9b62e55a";"Germany";3;NA;"Male";3,8;-0,615384615384615;13;"Wald";"Gas";"Tiere";"Menschen";"Co2";5;4;5;3;2;"renewable energy";"extreme weather events";"heatwaves";"environmental awareness";"mobility";"green technologies";"lack of resources";"climate denial"
"517";"652d1a0830b934d1643b80c5";"Germany";1;NA;"Male";2,4;-0,352941176470588;17;"Gefahr";"Biodiversität";"Natur";"Verzweiflung";"Öl";2;1;1;2;6;"hot summers";"extreme drought";"forest dieback";"mild winters";"more cycling";"green energy";"fossil fuel";"driving a car"
"519";"615416df060f5730a1d4e113";"Germany";3;NA;"Male";1,66666666666667;-0,6875;16;"Erderwärmung";"Riesengeschäft";"neue Technologien";NA;NA;1;1;3;NA;NA;"man-made";"natural fluctuation";"political battle term propaganda";"resources";"renewable energy";"coal";"oil";"harms human environment"
"521";"62837113d02e5a491c699e3e";"Germany";3;NA;"Female";2,4;-0,416666666666667;12;"Umweltkatastrophen";"Treibhauseffekt";"CO2";"Erderwärmung";"Ökosystem";1;1;3;1;6;"natural disaster";"migration";"destruction of nature";"species extinction";"increased earlier mortality";"reflecting on past behavior";"cooperation between countries";"strengthening cohesion"
"524";"6039b30f86b21c537bfb9448";"Germany";1;NA;"Male";1,6;-1,35714285714286;14;"Katastrophe";"Umweltschäden";"Menschengemacht";"Fluchtbewegungen";"Furchtbar";1;1;3;2;1;"politics";"personal contribution";"causes of migration";"distribution battles";"resource scarcity";"solutions";"economy";"co2 emissions"
"540";"5b327d06adb0f7000125460e";"Germany";3;NA;"Female";3;-0,666666666666667;18;"Erderwärmung";"Unwetter";"Zerstörung vn Wäldern";"Überschwemmungen und Waldbrände";"Fridays for Future";2;2;2;2;7;"demonstrations";"fridays for future";"last generation";"renewable energy ";"extreme weather";"recycling";"make public transport attractive";"sea level"
"548";"6543aeb6dd91d965fc3df508";"Germany";1;NA;"Female";2;-1,38461538461538;13;"Müll";"Globale Erwärmung";"Hitze";"Umwelt";"Abgase";2;1;2;4;1;"fear";"drought";"gases";"recycling";"extinction";"extreme temperatures";"education";"plastic"
"556";"633ddca746fbf59ca2e530aa";"Germany";3;NA;"Male";NA;-2,76923076923077;13;"Schmelzendes Eis";NA;NA;NA;NA;NA;NA;NA;NA;NA;"big heat";"from dry waters";"drinking water scarcity";"melting glaciers";"sea level rise";"new diseases";"extinction of animals";"famine"
"568";"5cb19af6c642510015463de2";"Germany";3;NA;"Male";2;1,23076923076923;13;"Treibhausgase";"Hitze";"Autos";"Industrie";"Windkrafträder";1;1;2;1;5;"social acceptance";"purchasing organic food";"expensive";"eating healthy";"plastic mountains on the beach";"environmental pollution";"climate change deniers";"forming one's own opinion"
"572";"6523fae070b5614ae54067eb";"Germany";1;NA;"Male";4;-1,61538461538462;13;"Klimatechnik ";"globale Erwärmung ";NA;NA;NA;6;2;NA;NA;NA;"global warming";"melting glaciers";"disappearance of the ozone layer";"flooding";"forest fire";"mass migration";"extreme drought";"heat-related fatalities"
"573";"65367487f0d1c1607d3665c9";"Germany";3;NA;"Male";1;-2,76923076923077;13;"Schmelzen der Polarkappen";"Erderwärmung";"Überschwemmungen";"Dürre";"Tierwanderung";1;1;1;1;1;"flooding";"drought";"storms";"food scarcity";"famine";"biodiversity";"melting glaciers/polar caps";"heat"
"576";"63616e1a4ed774ed3612fee8";"Germany";3;NA;"Male";1;-0,384615384615385;13;"Scam";"Quatsch";"Agitprop";"Grün";"Unsinn";1;1;1;1;1;"past";"future";"co2";"control";"politics";"scientists";"ice ages";"warm periods"
"577";"627d6dfb32131b47c91c4994";"Germany";3;NA;"Male";2,6;-0,866666666666667;15;"Kosten";"LÜge";"Waldsterben";"Chancen";"Wirtschaft";1;3;2;5;2;"responsibility to the next";"chances";"risks";"elderly people";"economy";"fossil energy";"renewable energy ";"means of transportation"
"591";"65385f165d9e107d07d7c3f5";"Germany";1;NA;"Male";1,8;-3;13;"wichtig";"dringend";"tiere";"flugzeug";"industrie";2;2;2;1;2;"global warming";"polar melting";"rising sea levels";"loss of land";"hot summers";"extinction of animal species";"forest fire";"animal deaths"
